reading_id,site_id,bin_id,device_id,batch_id,recorded_at,sequence,method,temperature_c,moisture_pct,oxygen_pct,co2_pct,nh3_relative,mq135_composite_ppm,stage_id,stage_name,days_until_ready,fault_codes
rdg-cmpiq-unram-esp32-01-0015,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-21T12:00:00Z,15,takakura,53.65,55.46,5.53,4.26,0.444,308.17,1,Active Thermophilic,41,
rdg-cmpiq-unram-esp32-01-0016,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-21T18:00:00Z,16,takakura,55.29,56.96,6.01,5.08,0.483,375.23,1,Active Thermophilic,41,
rdg-cmpiq-unram-esp32-01-0017,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-22T00:00:00Z,17,takakura,54.98,54.74,5.63,4.86,0.622,372.6,1,Active Thermophilic,40,
rdg-cmpiq-unram-esp32-01-0018,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-22T06:00:00Z,18,takakura,57.34,56.1,5.89,5.92,0.591,446.68,1,Active Thermophilic,40,
rdg-cmpiq-unram-esp32-01-0019,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-22T12:00:00Z,19,takakura,61.51,56.47,4.69,5.72,0.702,454.74,1,Active Thermophilic,40,
rdg-cmpiq-unram-esp32-01-0020,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-22T18:00:00Z,20,takakura,61.53,55.12,4.62,5.71,0.667,444.93,1,Active Thermophilic,40,
rdg-cmpiq-unram-esp32-01-0021,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-23T00:00:00Z,21,takakura,56.81,57.71,5.08,5.35,0.63,437.34,2,Peak Decomposition,39,
rdg-cmpiq-unram-esp32-01-0022,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-23T06:00:00Z,22,takakura,57.39,57.75,6.58,6.19,0.671,466.36,2,Peak Decomposition,39,
rdg-cmpiq-unram-esp32-01-0023,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-23T12:00:00Z,23,takakura,57.33,56.98,5.7,7.02,0.784,515.79,2,Peak Decomposition,39,
rdg-cmpiq-unram-esp32-01-0024,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-23T18:00:00Z,24,takakura,58.91,55.12,4.49,6.98,0.724,504.63,2,Peak Decomposition,39,
rdg-cmpiq-unram-esp32-01-0025,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-24T00:00:00Z,25,takakura,59.91,55.38,3.85,7.28,0.65,479.41,2,Peak Decomposition,38,
rdg-cmpiq-unram-esp32-01-0026,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-24T06:00:00Z,26,takakura,59.86,56.76,3.75,7.04,0.743,513.06,2,Peak Decomposition,38,
rdg-cmpiq-unram-esp32-01-0027,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-24T12:00:00Z,27,takakura,57.8,54.53,3.77,7.36,0.771,519.15,2,Peak Decomposition,38,
rdg-cmpiq-unram-esp32-01-0028,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-24T18:00:00Z,28,takakura,61.97,57.37,4.36,7.69,0.831,578.97,2,Peak Decomposition,38,
rdg-cmpiq-unram-esp32-01-0029,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-25T00:00:00Z,29,takakura,59.29,55.66,3.79,7.98,0.813,567.79,2,Peak Decomposition,37,
rdg-cmpiq-unram-esp32-01-0030,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-25T06:00:00Z,30,takakura,61.52,54.29,3.83,7.84,0.885,594.59,2,Peak Decomposition,37,
rdg-cmpiq-unram-esp32-01-0031,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-25T12:00:00Z,31,takakura,61.03,55.45,2.54,8.51,0.917,612.27,2,Peak Decomposition,37,
rdg-cmpiq-unram-esp32-01-0032,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-25T18:00:00Z,32,takakura,61.98,55.0,3.75,8.05,0.915,579.72,2,Peak Decomposition,37,
rdg-cmpiq-unram-esp32-01-0033,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-26T00:00:00Z,33,takakura,61.58,52.46,3.26,8.61,0.889,602.15,2,Peak Decomposition,36,
rdg-cmpiq-unram-esp32-01-0034,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-26T06:00:00Z,34,takakura,60.57,52.65,4.1,8.61,0.825,604.07,2,Peak Decomposition,36,
rdg-cmpiq-unram-esp32-01-0035,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-26T12:00:00Z,35,takakura,59.97,52.21,3.08,8.03,0.907,579.95,2,Peak Decomposition,36,
rdg-cmpiq-unram-esp32-01-0036,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-26T18:00:00Z,36,takakura,63.86,52.73,2.42,8.63,0.956,656.05,2,Peak Decomposition,36,
rdg-cmpiq-unram-esp32-01-0037,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-27T00:00:00Z,37,takakura,62.44,51.62,3.54,9.18,0.93,611.4,2,Peak Decomposition,35,
rdg-cmpiq-unram-esp32-01-0038,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-27T06:00:00Z,38,takakura,64.36,50.52,2.04,9.5,1.0,662.37,2,Peak Decomposition,35,
rdg-cmpiq-unram-esp32-01-0039,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-27T12:00:00Z,39,takakura,66.07,46.45,1.81,9.71,1.0,676.71,2,Peak Decomposition,35,
rdg-cmpiq-unram-esp32-01-0040,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-27T18:00:00Z,40,takakura,66.26,49.09,1.15,10.07,1.0,730.08,2,Peak Decomposition,35,
rdg-cmpiq-unram-esp32-01-0041,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-28T00:00:00Z,41,takakura,58.02,55.55,12.0,1.6,0.583,262.03,3,Cooling,34,
rdg-cmpiq-unram-esp32-01-0042,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-28T06:00:00Z,42,takakura,59.44,54.79,11.23,1.85,0.655,308.43,3,Cooling,34,
rdg-cmpiq-unram-esp32-01-0043,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-28T12:00:00Z,43,takakura,58.52,54.7,11.27,2.38,0.535,264.14,3,Cooling,34,
rdg-cmpiq-unram-esp32-01-0044,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-28T18:00:00Z,44,takakura,57.55,52.28,11.07,2.07,0.574,296.52,3,Cooling,34,
rdg-cmpiq-unram-esp32-01-0045,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-29T00:00:00Z,45,takakura,56.13,52.83,10.38,2.78,0.593,339.53,3,Cooling,33,
rdg-cmpiq-unram-esp32-01-0046,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-29T06:00:00Z,46,takakura,54.86,51.54,11.34,3.14,0.52,307.1,3,Cooling,33,
rdg-cmpiq-unram-esp32-01-0047,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-29T12:00:00Z,47,takakura,56.52,48.95,10.9,2.76,0.531,318.43,3,Cooling,33,
rdg-cmpiq-unram-esp32-01-0048,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-29T18:00:00Z,48,takakura,54.73,54.51,11.48,2.62,0.482,256.81,3,Cooling,33,
rdg-cmpiq-unram-esp32-01-0049,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-30T00:00:00Z,49,takakura,53.27,52.2,10.09,3.74,0.48,325.42,3,Cooling,32,
rdg-cmpiq-unram-esp32-01-0050,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-30T06:00:00Z,50,takakura,51.25,52.69,10.83,2.9,0.505,277.13,3,Cooling,32,
rdg-cmpiq-unram-esp32-01-0051,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-30T12:00:00Z,51,takakura,48.2,53.71,9.91,3.32,0.427,310.06,3,Cooling,32,
rdg-cmpiq-unram-esp32-01-0052,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-30T18:00:00Z,52,takakura,50.36,50.99,9.34,3.46,0.428,279.14,3,Cooling,32,
rdg-cmpiq-unram-esp32-01-0053,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-31T00:00:00Z,53,takakura,48.38,51.12,9.75,3.27,0.455,296.22,3,Cooling,31,
rdg-cmpiq-unram-esp32-01-0054,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-31T06:00:00Z,54,takakura,49.27,48.93,8.72,3.76,0.452,330.28,3,Cooling,31,
rdg-cmpiq-unram-esp32-01-0055,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-31T12:00:00Z,55,takakura,49.13,47.63,8.5,3.75,0.37,279.99,3,Cooling,31,
rdg-cmpiq-unram-esp32-01-0056,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-08-31T18:00:00Z,56,takakura,46.17,55.76,8.54,3.8,0.428,313.59,3,Cooling,31,
rdg-cmpiq-unram-esp32-01-0057,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-01T00:00:00Z,57,takakura,45.56,48.83,8.74,3.54,0.426,286.66,3,Cooling,30,
rdg-cmpiq-unram-esp32-01-0058,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-01T06:00:00Z,58,takakura,43.24,46.59,7.87,4.27,0.362,301.66,3,Cooling,30,
rdg-cmpiq-unram-esp32-01-0059,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-01T12:00:00Z,59,takakura,43.58,48.15,7.34,4.33,0.348,326.34,3,Cooling,30,
rdg-cmpiq-unram-esp32-01-0060,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-01T18:00:00Z,60,takakura,42.25,51.44,6.86,3.99,0.374,318.55,3,Cooling,30,
rdg-cmpiq-unram-esp32-01-0061,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-02T00:00:00Z,61,takakura,40.3,47.93,6.45,4.47,0.292,358.97,3,Cooling,29,
rdg-cmpiq-unram-esp32-01-0062,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-02T06:00:00Z,62,takakura,37.47,51.17,7.59,4.4,0.363,317.4,3,Cooling,29,
rdg-cmpiq-unram-esp32-01-0063,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-02T12:00:00Z,63,takakura,38.82,48.57,7.33,4.99,0.368,344.36,3,Cooling,29,
rdg-cmpiq-unram-esp32-01-0064,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-02T18:00:00Z,64,takakura,37.62,49.31,6.65,4.9,0.375,349.35,3,Cooling,29,
rdg-cmpiq-unram-esp32-01-0065,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-03T00:00:00Z,65,takakura,35.54,44.91,6.93,5.33,0.286,328.77,3,Cooling,28,
rdg-cmpiq-unram-esp32-01-0066,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-03T06:00:00Z,66,takakura,36.37,45.65,6.24,5.17,0.303,315.09,3,Cooling,28,
rdg-cmpiq-unram-esp32-01-0067,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-03T12:00:00Z,67,takakura,34.73,46.79,5.53,4.89,0.279,315.91,3,Cooling,28,
rdg-cmpiq-unram-esp32-01-0068,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-03T18:00:00Z,68,takakura,31.09,46.81,5.73,6.07,0.201,334.29,3,Cooling,28,
rdg-cmpiq-unram-esp32-01-0069,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-04T00:00:00Z,69,takakura,33.54,45.95,6.13,5.54,0.238,341.65,3,Cooling,27,
rdg-cmpiq-unram-esp32-01-0070,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-04T06:00:00Z,70,takakura,33.21,44.9,4.91,5.38,0.226,312.5,3,Cooling,27,
rdg-cmpiq-unram-esp32-01-0071,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-04T12:00:00Z,71,takakura,29.72,45.68,5.22,6.58,0.2,351.34,3,Cooling,27,
rdg-cmpiq-unram-esp32-01-0072,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-04T18:00:00Z,72,takakura,30.19,44.61,5.38,6.08,0.247,342.85,3,Cooling,27,
rdg-cmpiq-unram-esp32-01-0073,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-05T00:00:00Z,73,takakura,30.59,50.41,21.0,0.4,0.101,97.23,4,Maturation,26,
rdg-cmpiq-unram-esp32-01-0074,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-05T06:00:00Z,74,takakura,31.84,49.06,20.12,0.32,0.148,81.89,4,Maturation,26,
rdg-cmpiq-unram-esp32-01-0075,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-05T12:00:00Z,75,takakura,32.97,53.85,20.3,0.32,0.141,106.69,4,Maturation,26,
rdg-cmpiq-unram-esp32-01-0076,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-05T18:00:00Z,76,takakura,29.25,49.87,19.62,0.16,0.112,80.58,4,Maturation,26,
rdg-cmpiq-unram-esp32-01-0077,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-06T00:00:00Z,77,takakura,31.8,51.31,19.62,0.34,0.122,106.94,4,Maturation,25,
rdg-cmpiq-unram-esp32-01-0078,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-06T06:00:00Z,78,takakura,32.4,49.84,19.23,0.78,0.196,132.64,4,Maturation,25,
rdg-cmpiq-unram-esp32-01-0079,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-06T12:00:00Z,79,takakura,32.2,45.72,19.38,0.47,0.112,86.46,4,Maturation,25,
rdg-cmpiq-unram-esp32-01-0080,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-06T18:00:00Z,80,takakura,32.89,49.11,17.43,0.55,0.186,111.28,4,Maturation,25,
rdg-cmpiq-unram-esp32-01-0081,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-07T00:00:00Z,81,takakura,31.61,48.42,20.47,1.49,0.175,137.48,4,Maturation,24,
rdg-cmpiq-unram-esp32-01-0082,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-07T06:00:00Z,82,takakura,32.0,47.09,18.86,0.9,0.11,89.67,4,Maturation,24,
rdg-cmpiq-unram-esp32-01-0083,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-07T12:00:00Z,83,takakura,31.45,50.74,18.75,0.66,0.156,116.39,4,Maturation,24,
rdg-cmpiq-unram-esp32-01-0084,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-07T18:00:00Z,84,takakura,32.33,46.03,20.09,0.0,0.141,76.22,4,Maturation,24,
rdg-cmpiq-unram-esp32-01-0085,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-08T00:00:00Z,85,takakura,32.79,48.89,18.62,0.69,0.16,138.22,4,Maturation,23,
rdg-cmpiq-unram-esp32-01-0086,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-08T06:00:00Z,86,takakura,31.49,47.83,19.42,0.54,0.134,100.72,4,Maturation,23,
rdg-cmpiq-unram-esp32-01-0087,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-08T12:00:00Z,87,takakura,31.08,49.55,19.28,1.1,0.086,117.32,4,Maturation,23,
rdg-cmpiq-unram-esp32-01-0088,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-08T18:00:00Z,88,takakura,32.75,47.91,18.68,0.59,0.117,72.48,4,Maturation,23,
rdg-cmpiq-unram-esp32-01-0089,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-09T00:00:00Z,89,takakura,30.21,48.72,18.11,0.7,0.073,109.33,4,Maturation,22,
rdg-cmpiq-unram-esp32-01-0090,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-09T06:00:00Z,90,takakura,32.89,46.92,18.21,0.81,0.117,128.95,4,Maturation,22,
rdg-cmpiq-unram-esp32-01-0091,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-09T12:00:00Z,91,takakura,34.49,48.03,19.74,0.63,0.125,127.02,4,Maturation,22,
rdg-cmpiq-unram-esp32-01-0092,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-09T18:00:00Z,92,takakura,28.83,46.71,19.1,0.69,0.08,116.74,4,Maturation,22,
rdg-cmpiq-unram-esp32-01-0093,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-10T00:00:00Z,93,takakura,32.22,48.15,18.38,0.52,0.16,114.92,4,Maturation,21,
rdg-cmpiq-unram-esp32-01-0094,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-10T06:00:00Z,94,takakura,33.15,47.42,19.39,0.94,0.133,131.82,4,Maturation,21,
rdg-cmpiq-unram-esp32-01-0095,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-10T12:00:00Z,95,takakura,29.82,51.22,17.96,0.63,0.199,121.88,4,Maturation,21,
rdg-cmpiq-unram-esp32-01-0096,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-10T18:00:00Z,96,takakura,31.31,52.2,17.73,1.64,0.141,145.19,4,Maturation,21,
rdg-cmpiq-unram-esp32-01-0097,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-11T00:00:00Z,97,takakura,29.62,45.9,18.66,0.83,0.132,109.17,4,Maturation,20,
rdg-cmpiq-unram-esp32-01-0098,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-11T06:00:00Z,98,takakura,31.49,49.25,17.4,0.54,0.125,94.79,4,Maturation,20,
rdg-cmpiq-unram-esp32-01-0099,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-11T12:00:00Z,99,takakura,33.24,44.86,17.7,0.89,0.107,135.9,4,Maturation,20,
rdg-cmpiq-unram-esp32-01-0100,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-11T18:00:00Z,100,takakura,30.41,45.73,18.55,0.77,0.062,84.04,4,Maturation,20,
rdg-cmpiq-unram-esp32-01-0101,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-12T00:00:00Z,101,takakura,31.53,47.89,17.6,0.87,0.077,130.2,4,Maturation,19,
rdg-cmpiq-unram-esp32-01-0102,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-12T06:00:00Z,102,takakura,30.14,49.57,18.14,0.93,0.125,122.41,4,Maturation,19,
rdg-cmpiq-unram-esp32-01-0103,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-12T12:00:00Z,103,takakura,32.33,49.81,17.05,1.04,0.112,116.02,4,Maturation,19,
rdg-cmpiq-unram-esp32-01-0104,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-12T18:00:00Z,104,takakura,32.03,47.77,18.73,1.02,0.121,96.7,4,Maturation,19,
rdg-cmpiq-unram-esp32-01-0105,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-13T00:00:00Z,105,takakura,29.6,47.01,16.61,0.77,0.042,66.67,4,Maturation,18,
rdg-cmpiq-unram-esp32-01-0106,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-13T06:00:00Z,106,takakura,31.77,44.5,18.15,0.33,0.104,97.31,4,Maturation,18,
rdg-cmpiq-unram-esp32-01-0107,site-unram-pilot,bin-unram-takakura-01,cmpiq-unram-esp32-01,batch-2026-08-takakura-a,2026-09-13T12:00:00Z,107,takakura,30.2,44.4,17.78,1.41,0.044,120.84,4,Maturation,18,
